69,14,99,71,13,61,12,70,26,66,1,73,56,30,63,37
99,36,31,53,72,43,34,34,61,24,21,14,22,27,80,42
75,81,29,42,70,26,20,74,11,40,57,56,86,55,99,28
36,84,69,24,37,25,50,53,50,98,4,60,28,6,38,37
62,68,97,28,20,41,33,58,38,79,99,66,94,5,46,34
78,84,8,87,23,21,54,38,87,24,49,71,99,76,64,65
58,80,21,18,98,65,72,83,100,41,14,55,90,41,39,66
29,98,95,81,15,35,45,45,42,53,71,88,79,96,81,47
63,21,77,48,23,81,77,67,76,49,91,35,24,59,65,83
71,89,47,5,7,82,66,40,51,46,72,90,90,2,6,42
60,20,37,28,89,6,50,22,67,100,35,55,28,41,83,26
48,81,3,27,74,35,40,5,56,9,23,94,31,96,53,36
44,41,73,13,64,21,3,94,35,49,7,57,34,12,47,77
23,90,86,66,54,74,18,17,20,11,56,57,6,38,90,5
47,14,17,53,86,96,52,66,75,18,68,43,98,95,29,95
12,17,31,70,87,21,97,81,19,69,69,16,23,56,12,20
79,6,88,70,31,65,24,55,33,5,61,36,90,68,69,57
36,90,63,1,8,45,32,38,2,59,23,18,67,54,90,81
67,8,74,53,75,17,46,36,100,93,51,42,10,79,72,48
34,87,25,6,19,35,1,53,57,28,59,80,77,29,86,13
71,39,37,28,21,2,6,1,39,90,19,64,74,15,59,39
22,13,87,85,82,25,49,59,18,16,48,100,59,9,65,10
70,24,83,100,71,93,73,10,93,34,30,97,10,56,52,96
96,10,89,63,44,9,32,82,59,66,45,10,93,25,1,15
87,31,65,53,90,66,23,30,33,67,1,18,30,46,92,36
75,63,45,20,48,62,9,91,31,37,54,25,41,77,12,47
81,48,32,12,39,20,18,27,32,10,14,57,5,6,28,26
79,21,42,47,25,69,92,93,44,48,67,2,78,53,62,57
39,17,50,18,62,59,29,56,41,59,52,8,70,89,31,12
8,93,64,61,45,92,45,53,48,84,45,97,77,54,30,17
71,58,59,78,42,33,74,94,58,51,24,68,38,51,67,61
52,20,73,23,22,83,14,86,50,29,24,65,47,88,32,6
80,14,29,50,46,80,69,86,73,41,65,22,12,74,56,97
2,80,52,53,71,9,81,45,84,66,12,64,17,92,18,99
45,34,42,88,17,62,98,81,87,81,69,51,34,5,20,56
67,24,62,89,47,59,4,5,62,97,73,75,99,50,88,71
32,27,61,82,83,92,1,89,99,41,30,32,64,67,31,61
76,10,25,75,85,52,86,45,94,25,76,51,33,82,92,80
9,16,4,4,87,47,3,35,1,90,82,76,48,13,30,3
86,27,38,98,32,31,63,3,76,9,61,53,39,24,79,65
77,52,3,8,41,91,2,68,19,33,60,4,94,66,60,10
22,13,94,98,80,7,60,4,73,28,30,17,23,41,81,92
23,85,65,66,53,73,42,19,58,56,39,38,46,86,18,100
81,44,65,92,48,30,79,57,30,92,61,67,59,57,64,71
78,41,42,31,64,6,94,80,50,99,79,14,36,74,18,36
22,81,90,42,100,75,17,7,11,62,84,67,18,62,19,81
23,81,3,73,13,86,32,28,42,75,60,4,23,89,88,7
25,52,22,29,82,11,44,14,35,33,66,96,54,27,6,71
8,81,11,40,20,90,38,37,80,84,19,30,50,68,85,50
46,42,64,47,9,27,33,58,15,62,3,75,2,79,57,41
92,92,41,50,14,2,73,44,97,42,67,91,43,81,95,26
10,78,47,19,8,53,43,95,100,1,89,7,43,58,50,86
84,33,50,76,57,25,84,47,100,63,67,53,48,60,59,65
49,86,71,74,26,75,38,11,64,2,13,50,93,75,59,48
77,11,87,49,17,10,96,43,10,99,28,5,31,90,100,61
77,1,86,47,78,4,42,99,36,44,94,90,64,74,45,45
88,4,57,22,29,82,80,46,32,33,23,86,80,38,65,61
37,73,79,4,88,39,98,29,38,16,62,19,72,72,55,90
49,28,45,74,88,30,2,11,95,12,88,21,32,82,74,48
20,6,75,9,11,46,6,89,26,36,89,51,62,81,22,29
66,14,15,31,89,77,11,1,59,52,3,46,41,34,58,26
81,44,42,12,63,75,39,33,11,35,56,7,1,75,14,83
81,8,36,2,33,7,66,54,61,30,19,56,24,63,27,21
45,61,93,75,24,68,53,19,34,87,14,36,41,65,67,83
40,1,34,32,70,83,36,15,61,99,28,54,5,57,66,58
23,41,50,7,97,28,82,20,86,67,88,97,12,21,61,14
74,39,97,61,51,16,54,28,29,19,89,14,7,84,21,33
89,96,48,77,52,88,95,56,33,92,45,73,17,71,96,82
13,9,55,73,10,7,38,14,50,83,1,74,20,99,55,83
93,70,28,4,10,87,56,36,72,61,31,15,99,16,23,81
56,87,3,18,42,71,93,94,2,87,70,41,66,65,9,38
18,44,95,6,50,56,71,89,6,27,32,12,73,97,81,87
3,68,99,96,34,17,44,6,93,99,83,69,15,27,44,9
